# Cathode TotalCurrent(HeavyIon_n190_des) X,Cathode TotalCurrent(HeavyIon_n190_des) Y
4.2e-08,0.00070512563
4.3e-08,0.00069655627
4.4e-08,0.00068829001
4.5e-08,0.00068030914
4.6e-08,0.00067259737
4.7e-08,0.00066513965
4.8e-08,0.00065792209
4.9e-08,0.00065093184
5e-08,0.00064415695
5.1e-08,0.00063758637
5.2e-08,0.00063120979
5.3e-08,0.00062501764
5.4e-08,0.00061900097
5.5e-08,0.00061315145
5.6e-08,0.00060746128
5.7e-08,0.00060192315
5.8e-08,0.00059653024
5.9e-08,0.00059127613
6e-08,0.0005861548
6.1e-08,0.00058116059
6.2e-08,0.00057628817
6.3e-08,0.00057153255
6.4e-08,0.00056688898
6.5e-08,0.00056235301
6.6e-08,0.00055792043
6.7e-08,0.00055358725
6.8e-08,0.00054934972
6.9e-08,0.00054520426
7e-08,0.0005411475
7.1e-08,0.00053717622
7.2e-08,0.0005332874
7.3e-08,0.00052947814
7.4e-08,0.0005257457
7.5e-08,0.00052208746
7.6e-08,0.00051850093
7.7e-08,0.00051498376
7.8e-08,0.00051153367
7.9e-08,0.00050814852
8e-08,0.00050482625
8.1e-08,0.00050156489
8.2e-08,0.00049836257
8.3e-08,0.0004952175
8.4e-08,0.00049212795
8.5e-08,0.00048909228
8.6e-08,0.00048610891
8.7e-08,0.00048317634
8.8e-08,0.00048029311
8.9e-08,0.00047745784
9e-08,0.00047466919
9.1e-08,0.00047192587
9.2e-08,0.00046922666
9.3e-08,0.00046657036
9.4e-08,0.00046395585
9.5e-08,0.00046138201
9.6e-08,0.00045884779
9.7e-08,0.00045635218
9.8e-08,0.00045389419
9.9e-08,0.00045147287
1e-07,0.00044908732

